name,float,purchase price,sell price,gross income,net income,total income
蝴蝶刀-自动化,略有磨损,11830,12120,12120,290,8122.81
mp9-星使,久经沙场,19.2,21.4,21.4,2.2,8125.01
p250-震中,崭新出厂,121,120,120,-1,8124.01
m4a4-合纵,久经沙场,150,246,246,96,8220.01
加利尔-迷人眼,久经沙场,14.9,18,18,3.1,8223.11
名称标签,,11.8,0,0,-11.8,8211.31
cz75-复古圣杯,崭新出厂,585,620,620,35,8246.31
弯刀-红宝石(st),崭新出厂,6450,6846,6709.08,259.08,8505.39
mac-10-渐变迪斯科,久经沙场,15.84,15.84,15.84,0,8505.39
名称标签,,12.9,0,0,-12.9,8492.49
沙漠之鹰-沙漠之狐,略有磨损,1620,1670,1686,66,8558.49
名称标签,,13.6,0,0,-13.6,8544.89
cz75-维多利亚,崭新出厂,69.88,88,88,18.12,8563.01
双持贝瑞塔-血红蛋白,崭新出厂,62.7,64,64,1.3,8564.31
名称标签,,11.09,0,0,-11.09,8553.22
名称标签,,11.06,0,0,-11.06,8542.16
名称标签,,11.1,0,0,-11.1,8531.06
摩托手套-清凉薄荷,久经沙场,2612.91,2720,2692.8,79.89,8610.95
m4a4-荷鲁斯之眼,久经沙场,1153.97,1190,1190,36.03,8646.98
摩托手套-多边形,久经沙场,1157,1220,1220,63,8709.98
usp-猎户,崭新出厂,393,409,409,16,8725.98
usp-疯狂蔓延,略有磨损,170.41,178,178,7.59,8733.57
摩托手套-第三特种兵连,久经沙场,647.26,674,674,26.74,8760.31
awp-红线,略有磨损,501,542,542,41,8801.31
挂件-烤肠酱,,131,134,134,3,8804.31
海豹短刀-渐变之色,崭新出厂,3761,3860,3860,99,8903.31
摩托手套-清凉薄荷,久经沙场,2638,2695,2695,57,8960.31
ak47-表面淬火,久经沙场,1496,1560,1560,64,9024.31
usp-猎户,崭新出厂,400,409,409,9,9033.31
印花-titan 2014,,283,306.5,306.5,23.5,9056.81
法玛斯-奈芙蒂斯之河,久经沙场,172,251,245.98,73.98,9130.79
九头蛇手套-表面淬火,久经沙场,714,753,753,39,9169.79
尼泊尔-原皮,,2457,2555,2491,34,9203.79
p250-震中,久经沙场,49.23,50,50,0.77,9204.56
p250-震中,久经沙场,49.16,50,50,0.84,9205.4
挂件-k金t,,262,300,297,35,9240.4
awp-精英之作,略有磨损,244,255,255,11,9251.4
沙漠之鹰-沙漠之狐,崭新出厂,3261,3330,3330,69,9320.4
awp-镀铬大炮,崭新出厂,861,895.5,895.5,34.5,9354.9
挂件-k金t,,268,285,282,14,9368.9
挂件-k金ct,,134,140,138,4,9372.9
挂件-k金ct,,129,140,138,9,9381.9
印花-niko 2024(gold),,364,372.5,372.5,8.5,9390.4
印花-magixx 2024(gold),,61.9,59.5,59.5,-2.4,9388
印花-zywoo 2024(gold),,206,205,205,-1,9387
awp-镀铬大炮,久经沙场,275,285,285,10,9397
专业手套-深红之网,久经沙场,1693,1780,1762,69,9466
g3sg1-克洛诺斯,崭新出厂,1575,1660,1660,85,9551
沙漠之鹰-纵横波涛(st),略有磨损,662,708,708,46,9597
awp-渐变之色,崭新出厂,6080,6219,6219,139,9736
m4a4-荷鲁斯之眼,久经沙场,1438,1454,1424.92,-13.08,9722.92
挂件-k金t,,276,300,297,21,9743.92
挂件-k金ct,,136,141,139,3,9746.92
沙漠之鹰-沙漠之狐,略有磨损,1598,1675,1675,77,9823.92
g3sg1-克洛诺斯,崭新出厂,1598,1660,1660,62,9885.92
骷髅匕首-渐变之色,崭新出厂,9363,9320,9413,50,9935.92
挂件-k金t,,131.9,146,144.54,12.64,9948.56
m4a4-荷鲁斯之眼,久经沙场,1360,1465,1465,105,10053.56
尼泊尔-人工染色,久经沙场,1350,1420,1420,70,10123.56
海豹短刀-渐变之色,崭新出厂,3842,4000,3960,118,10241.56
awp-镀铬大炮,久经沙场,283,285,285,2,10243.56
m4a4-破晓,崭新出厂,2179,2260,2260,81,10324.56
摩托手套-清凉薄荷,破损不堪,2205,2440,2415.6,210.6,10535.16
awp-九头金蛇,战痕累累,8185,8200,8280,95,10630.16
p250-震中,久经沙场,48.7,55,55,6.3,10636.46
挂件-k金ct,,131.2,143,143,11.8,10648.26
摩托手套-清凉薄荷,略有磨损,5856,6140,6140,284,10932.26
m4a4-荷鲁斯之眼,久经沙场,1393.5,1430,1430,36.5,10968.76
awp-镀铬大炮,久经沙场,284,287,287,3,10971.76
摩托手套-清凉薄荷,战痕累累,1335,1410,1410,75,11046.76
摩托手套-清凉薄荷,破损不堪,2330,2400,2400,70,11116.76
封装的涂鸦-咆哮黎明,,29,35,35,6,11122.76
m4a4-合纵,略有磨损,510,545,545,35,11157.76
p2000-银质,崭新出厂,235,249,249,14,11171.76
挂件-k金t,,255,320,320,65,11236.76
摩托手套-清凉薄荷,破损不堪,2378,2450,2450,72,11308.76
摩托手套-清凉薄荷,久经沙场,3100,3460,3494,394,11702.76
蝴蝶刀-表面淬火,久经沙场,8300,8996,8816.08,516.08,12218.84
弯刀-表面淬火,久经沙场,3690,3987,3907.26,217.26,12436.1
